scaffoldId	begin	end	strand	desc	old_locus_tag	new_locus_tag
NC_008313.1	59202	60152	-	gene	H16_A0044	H16_RS00190
NC_008313.1	60149	60910	-	gene	H16_A0045	H16_RS00195
NC_008313.1	60907	61575	-	gene	H16_A0046	H16_RS00200
NC_008313.1	61594	62349	-	gene	H16_A0047	H16_RS00205
NC_008313.1	62430	63224	-	gene	H16_A0048	H16_RS00210
NC_008313.1	63359	64018	-	gene	H16_A0049	H16_RS00215
NC_008313.1	64164	64487	+	gene	H16_A0050	H16_RS00220
NC_008313.1	64772	65290	+	gene	H16_A0051	H16_RS00225
NC_008313.1	65293	66156	-	gene	H16_A0052	H16_RS00230
NC_008313.1	66381	66884	-	gene	H16_A0053	H16_RS00235
NC_008313.1	66877	67767	-	gene	H16_A0054	H16_RS00240
NC_008313.1	67842	68276	+	gene	H16_A0055	H16_RS00245
NC_008313.1	68388	70187	-	gene	H16_A0056	H16_RS00250
NC_008313.1	70749	71918	+	gene	H16_A0057	H16_RS00255
NC_008313.1	72060	72965	+	gene	H16_A0058	H16_RS00260
NC_008313.1	72999	74408	+	gene	H16_A0059	H16_RS00265
NC_008313.1	74441	75556	-	gene	H16_A0060	H16_RS00270
NC_008313.1	75622	76335	+	gene	H16_A0061	H16_RS00275
NC_008313.1	76478	76918	+	gene	H16_A0062	H16_RS00280
NC_008313.1	76990	78030	-	gene	H16_A0063	H16_RS00285
NC_008313.1	78354	79844	+	gene	H16_A0064	H16_RS00290
NC_008313.1	79927	80535	+	gene	H16_A0065	H16_RS00295
NC_008313.1	80560	81186	-	gene	H16_A0066	H16_RS00300
NC_008313.1	81320	82057	-	gene	H16_A0067	H16_RS00305
NC_008313.1	82131	83552	-	gene	H16_A0068	H16_RS00310
NC_008313.1	83557	84285	-	gene	H16_A0069	H16_RS00315
NC_008313.1	84375	85673	-	gene	H16_A0070	H16_RS00320
NC_008313.1	85811	86590	+	gene	H16_A0071	H16_RS00325
NC_008313.1	86616	87464	+	gene	H16_A0072	H16_RS00330
NC_008313.1	87734	88981	+	gene	H16_A0073	H16_RS00335
NC_008313.1	89000	89785	-	gene	H16_A0074	H16_RS00340
NC_008313.1	90016	91236	+	gene	H16_A0075	H16_RS00345
NC_008313.1	91240	91791	-	gene	H16_A0076	H16_RS00350
NC_008313.1	91898	92812	+	gene	H16_A0077	H16_RS00355
NC_008313.1	92860	93159	+	gene	H16_A0078	H16_RS00360
NC_008313.1	93276	94259	+	gene	H16_A0079	H16_RS00365
NC_008313.1	94262	94942	-	gene	H16_A0080	H16_RS00370
NC_008313.1	95176	95901	+	gene	H16_A0081	H16_RS00375
NC_008313.1	95898	96623	+	gene	H16_A0082	H16_RS00380
NC_008313.1	96675	97772	-	gene	H16_A0083	H16_RS00385
NC_008313.1	98139	98393	-	gene	H16_A0084	H16_RS00390
NC_008313.1	98415	99230	-	gene	H16_A0085	H16_RS00395
NC_008313.1	99298	100110	-	gene	H16_A0086	H16_RS00400
NC_008313.1	100341	101312	+	gene	H16_A0087	H16_RS00405
NC_008313.1	101467	102171	+	gene	H16_A0088	H16_RS00410
NC_008313.1	102276	103106	-	gene	H16_A0089	H16_RS00415
NC_008313.1	103205	104149	+	gene	H16_A0090	H16_RS00420
NC_008313.1	104272	105240	+	gene	H16_A0091	H16_RS00425
NC_008313.1	105359	106333	+	gene	H16_A0092	H16_RS00430
NC_008313.1	106422	106964	-	gene	H16_A0093	H16_RS00435
NC_008313.1	107104	107307	-	gene	H16_A0094	H16_RS00440
NC_008313.1	107338	107907	-	gene	H16_A0095	H16_RS00445
NC_008313.1	107949	109193	-	gene	H16_A0096	H16_RS00450
NC_008313.1	109295	110251	-	gene	H16_A0097	H16_RS00455
NC_008313.1	110432	111406	+	gene	H16_A0098	H16_RS00460
NC_008313.1	111454	112656	+	gene	H16_A0099	H16_RS00465
NC_008313.1	112722	113495	+	gene	H16_A0100	H16_RS00470
NC_008313.1	113551	115905	+	gene	H16_A0101	H16_RS00475
NC_008313.1	115939	116934	+	gene	H16_A0102	H16_RS00480
NC_008313.1	116951	118378	-	gene	H16_A0103	H16_RS00485
NC_008313.1	118450	119271	-	gene	H16_A0104	H16_RS00490
NC_008313.1	119446	119883	+	gene	H16_A0105	H16_RS00495
NC_008313.1	119915	120301	+	gene	H16_A0106	H16_RS00500
NC_008313.1	120310	121080	-	gene	H16_A0107	H16_RS00505
NC_008313.1	121158	122615	-	gene	H16_A0108	H16_RS00510
NC_008313.1	122706	123797	-	gene	H16_A0109	H16_RS00515
NC_008313.1	123815	124291	-	gene	H16_A0110	H16_RS00520
NC_008313.1	124288	125793	-	gene	H16_A0111	H16_RS00525
NC_008313.1	125886	126185	-	gene	H16_A0112	H16_RS00530
NC_008313.1	126775	127818	+	gene	H16_A0113	H16_RS00535
NC_008313.1	128015	128980	+	gene	H16_A0114	H16_RS00540
NC_008313.1	128977	129489	+	gene	H16_A0115	H16_RS00545
NC_008313.1	129543	131849	+	gene	H16_A0116	H16_RS00550
NC_008313.1	131861	133003	+	gene	H16_A0117	H16_RS00555
NC_008313.1	133093	133779	+	gene	H16_A0118	H16_RS00560
NC_008313.1	133805	134884	+	gene	H16_A0119	H16_RS00565
NC_008313.1	134886	135842	-	gene	H16_A0120	H16_RS00570
NC_008313.1	136091	136459	+	gene	H16_A0121	H16_RS00575
NC_008313.1	136630	137385	+	gene	H16_A0122	H16_RS00580
NC_008313.1	137426	138421	+	gene	H16_A0123	H16_RS00585
NC_008313.1	138663	139310	+	gene	H16_A0124	H16_RS00590
NC_008313.1	139307	140326	+	gene	H16_A0125	H16_RS00595
NC_008313.1	140382	141122	+	gene	H16_A0126	H16_RS00600
NC_008313.1	141223	141951	+	gene	H16_A0127	H16_RS00605
NC_008313.1	141962	142912	+	gene	H16_A0128	H16_RS00610
NC_008313.1	142928	143578	+	gene	H16_A0129	H16_RS00615
NC_008313.1	143591	144841	-	gene	H16_A0130	H16_RS00620
NC_008313.1	144861	145550	-	gene	H16_A0131	H16_RS00625
NC_008313.1	145561	146502	-	gene	H16_A0132	H16_RS00630
NC_008313.1	146499	147353	-	gene	H16_A0133	H16_RS00635
NC_008313.1	147350	148486	-	gene	H16_A0134	H16_RS00640
NC_008313.1	148658	149539	+	gene	H16_A0135	H16_RS00645
NC_008313.1	149536	150378	+	gene	H16_A0136	H16_RS00650
NC_008313.1	150420	151136	+	gene	H16_A0137	H16_RS00655
NC_008313.1	151152	151646	-	gene	H16_A0138	H16_RS00660
NC_008313.1	152364	153227	-	gene	H16_A0139	H16_RS00665
NC_008313.1	153428	154693	-	gene	H16_A0140	H16_RS00670
NC_008313.1	154731	155522	-	gene	H16_A0141	H16_RS00675
NC_008313.1	155597	156430	-	gene	H16_A0142	H16_RS00680
NC_008313.1	156550	157530	-	gene	H16_A0143	H16_RS00685
NC_008313.1	157613	158611	-	gene	H16_A0144	H16_RS00690
NC_008313.1	158791	159624	+	gene	H16_A0145	H16_RS00695
NC_008313.1	159710	160675	+	pseudogene	H16_A0146	H16_RS33595
NC_008313.1	160727	161569	+	gene	H16_A0147	H16_RS00705
NC_008313.1	161795	162052	+	gene	H16_A0148	H16_RS00710
NC_008313.1	162125	162517	-	gene	H16_A0149	H16_RS00715
NC_008313.1	162746	163807	+	gene	H16_A0150	H16_RS34930
NC_008313.1	163825	166572	+	gene	H16_A0151	H16_RS00725
NC_008313.1	166836	167297	+	gene	H16_A0152	H16_RS00730
NC_008313.1	167608	168240	+	gene	H16_A0153	H16_RS00735
NC_008313.1	168286	168693	+	gene	H16_A0154	H16_RS00740
NC_008313.1	168743	170146	-	gene	H16_A0155	H16_RS00745
NC_008313.1	170431	170598	+	gene	H16_A0156	H16_RS33980
NC_008313.1	170651	171079	+	gene	H16_A0157	H16_RS00755
NC_008313.1	171256	171576	-	gene	H16_A0158	H16_RS00760
NC_008313.1	171841	173628	+	gene	H16_A0159	H16_RS00765
NC_008313.1	173745	174470	+	gene	H16_A0160	H16_RS00770
NC_008313.1	174637	175272	+	gene	H16_A0161	H16_RS00775
NC_008313.1	175378	176184	+	gene	H16_A0162	H16_RS00780
NC_008313.1	176187	177020	+	gene	H16_A0163	H16_RS00785
NC_008313.1	177026	178102	-	gene	H16_A0164	H16_RS00790
NC_008313.1	178308	178772	+	gene	H16_A0165	H16_RS00795
NC_008313.1	178900	179376	+	gene	H16_A0166	H16_RS00800
NC_008313.1	179441	180622	+	gene	H16_A0167	H16_RS00805
NC_008313.1	180734	182575	+	gene	H16_A0168	H16_RS00810
NC_008313.1	182572	183243	+	gene	H16_A0169	H16_RS00815
NC_008313.1	183291	184469	+	gene	H16_A0170	H16_RS00820
NC_008313.1	184600	185280	+	gene	H16_A0171	H16_RS00825
NC_008313.1	185311	186441	+	gene	H16_A0172	H16_RS00830
NC_008313.1	186529	187185	+	gene	H16_A0173	H16_RS00835
NC_008313.1	187182	187868	+	gene	H16_A0174	H16_RS00840
NC_008313.1	187865	188302	+	gene	H16_A0175	H16_RS00845
NC_008313.1	188299	188976	+	gene	H16_A0176	H16_RS00850
NC_008313.1	189030	190637	+	gene	H16_A0177	H16_RS00855
NC_008313.1	190680	191576	+	gene	H16_A0178	H16_RS00860
NC_008313.1	191615	192403	+	gene	H16_A0179	H16_RS00865
NC_008313.1	192732	194234	+	gene	H16_A0180	H16_RS00870
NC_008313.1	194224	195438	+	gene	H16_A0181	H16_RS00875
NC_008313.1	195435	196172	+	gene	H16_A0182	H16_RS00880
NC_008313.1	196192	197223	+	gene	H16_A0183	H16_RS00885
NC_008313.1	197288	199315	+	gene	H16_A0184	H16_RS00890
NC_008313.1	199420	200361	+	gene	H16_A0185	H16_RS00895
NC_008313.1	200399	201334	+	gene	H16_A0186	H16_RS00900
NC_008313.1	201376	201876	+	gene	H16_A0187	H16_RS00905
NC_008313.1	201873	202301	+	gene	H16_A0188	H16_RS00910
NC_008313.1	202321	202572	+	gene	H16_A0189	H16_RS00915
NC_008313.1	202542	203498	+	gene	H16_A0190	H16_RS00920
NC_008313.1	203521	205716	-	gene	H16_A0191	H16_RS00925
NC_008313.1	205876	206334	-	gene	H16_A0192	H16_RS00930
NC_008313.1	206267	207535	-	gene	H16_A0193	H16_RS00935
NC_008313.1	207767	208186	-	gene	NA	H16_RS00940
NC_008313.1	208797	209897	-	gene	H16_A0195	H16_RS00945
NC_008313.1	209928	210464	-	gene	H16_A0196	H16_RS00950
NC_008313.1	210606	211505	+	gene	H16_A0197	H16_RS00955
NC_008313.1	211801	212787	+	gene	H16_A0198	H16_RS00960
NC_008313.1	213006	213542	+	gene	H16_A0199	H16_RS00965
NC_008313.1	213593	214924	+	gene	H16_A0200	H16_RS00970
NC_008313.1	215182	215478	+	gene	H16_A0201	H16_RS00975
NC_008313.1	215532	216143	-	gene	H16_A0202	H16_RS00980
NC_008313.1	216140	217528	-	gene	H16_A0203	H16_RS00985
NC_008313.1	217705	218193	+	gene	H16_A0204	H16_RS00990
NC_008313.1	218372	219307	-	gene	H16_A0205	H16_RS00995
NC_008313.1	219401	219931	+	gene	H16_A0206	H16_RS01000
NC_008313.1	219904	220134	-	gene	H16_A0207	H16_RS01005
NC_008313.1	220489	221406	+	gene	H16_A0208	H16_RS01010
NC_008313.1	221479	222417	+	gene	H16_A0209	H16_RS01015
NC_008313.1	222414	223085	+	gene	H16_A0210	H16_RS01020
NC_008313.1	223540	224721	+	gene	H16_A0211	H16_RS01025
NC_008313.1	224718	225329	+	gene	H16_A0212	H16_RS01030
NC_008313.1	225340	225768	-	gene	H16_A0213	H16_RS01035
NC_008313.1	225851	226423	+	gene	H16_A0214	H16_RS01040
NC_008313.1	226424	227338	-	gene	H16_A0215	H16_RS01045
NC_008313.1	227449	228336	+	gene	H16_A0216	H16_RS01050
NC_008313.1	228462	229310	+	gene	H16_A0217	H16_RS01055
NC_008313.1	229324	230583	-	gene	H16_A0218	H16_RS01060
NC_008313.1	230734	231696	+	gene	H16_A0219	H16_RS01065
NC_008313.1	231767	232714	-	gene	H16_A0220	H16_RS01070
NC_008313.1	232893	233195	+	gene	H16_A0221	H16_RS01075
NC_008313.1	233227	233628	+	gene	H16_A0222	H16_RS01080
NC_008313.1	233638	234414	-	gene	H16_A0223	H16_RS01085
NC_008313.1	234442	235128	+	gene	H16_A0224	H16_RS01090
NC_008313.1	235290	236564	+	gene	H16_A0225	H16_RS01095
NC_008313.1	236579	237388	-	gene	H16_A0226	H16_RS01100
NC_008313.1	237496	238362	-	gene	H16_A0227	H16_RS01105
NC_008313.1	238405	239298	-	gene	H16_A0228	H16_RS01110
NC_008313.1	239295	240191	-	gene	H16_A0229	H16_RS01115
NC_008313.1	240523	241686	+	gene	H16_A0230	H16_RS01120
NC_008313.1	241889	242830	+	gene	H16_A0231	H16_RS01125
NC_008313.1	242831	244234	-	gene	H16_A0232	H16_RS01130
NC_008313.1	244550	246229	+	gene	H16_A0233	H16_RS01135
NC_008313.1	246234	247895	-	gene	H16_A0234	H16_RS01140
NC_008313.1	248094	248195	+	riboswitch	NA	NA
NC_008313.1	248296	250176	+	gene	H16_A0235	H16_RS01145
NC_008313.1	250313	251506	+	gene	H16_A0236	H16_RS01150
NC_008313.1	251519	251716	+	gene	H16_A0237	H16_RS01155
NC_008313.1	251720	252556	+	gene	H16_A0238	H16_RS01160
NC_008313.1	252553	253689	+	gene	H16_A0239	H16_RS01165
NC_008313.1	253704	254213	+	gene	H16_A0240	H16_RS01170
NC_008313.1	254330	254782	+	gene	H16_A0241	H16_RS01175
NC_008313.1	254804	255238	-	gene	H16_A0242	H16_RS01180
NC_008313.1	255244	256071	-	gene	H16_A0243	H16_RS01185
NC_008313.1	256130	256245	+	riboswitch	NA	NA
NC_008313.1	256368	257786	+	gene	H16_A0244	H16_RS01190
NC_008313.1	257858	258208	+	gene	H16_A0245	H16_RS01195
NC_008313.1	258270	259100	+	gene	H16_A0246	H16_RS01200
NC_008313.1	259109	259468	+	gene	H16_A0247	H16_RS01205
NC_008313.1	259566	260324	+	gene	H16_A0248	H16_RS01210
NC_008313.1	260321	260905	-	gene	H16_A0249	H16_RS01215
NC_008313.1	261011	262963	+	gene	H16_A0250	H16_RS01220
NC_008313.1	263070	264092	+	gene	H16_A0251	H16_RS01225
NC_008313.1	264278	264976	+	gene	H16_A0252	H16_RS01230
NC_008313.1	265032	266267	+	gene	H16_A0253	H16_RS01235
NC_008313.1	266456	266893	-	gene	H16_A0254	H16_RS01240
NC_008313.1	267031	267249	-	pseudogene	H16_A0255	H16_RS01245
NC_008313.1	267277	267471	-	gene	H16_A0256	H16_RS01250
NC_008313.1	267488	268687	-	gene	H16_A0257	H16_RS01255
NC_008313.1	268703	269557	+	gene	H16_A0258	H16_RS01260
NC_008313.1	269644	270045	+	gene	H16_A0259	H16_RS01265
NC_008313.1	270155	271099	+	gene	H16_A0260	H16_RS01270
NC_008313.1	271164	272114	-	gene	H16_A0261	H16_RS01275
NC_008313.1	272282	273646	+	gene	H16_A0262	H16_RS01280
NC_008313.1	273764	275602	+	gene	H16_A0263	H16_RS01285
NC_008313.1	275679	276092	-	pseudogene	H16_A0264	H16_RS01290
NC_008313.1	276246	277187	-	gene	H16_A0265	H16_RS01295
NC_008313.1	277294	278286	+	gene	H16_A0266	H16_RS01300
NC_008313.1	278581	279057	+	gene	H16_A0267	H16_RS01305
NC_008313.1	279140	279214	+	gene	H16_A0268	H16_RS01310
NC_008313.1	279140	279214	+	tRNA	NA	H16_RS01310
NC_008313.1	279140	279214	+	exon	NA	H16_RS01310
NC_008313.1	279533	279976	+	gene	H16_A0269	H16_RS01315
NC_008313.1	280001	280990	-	gene	H16_A0270	H16_RS01320
NC_008313.1	281368	282828	-	gene	H16_A0271	H16_RS01325
NC_008313.1	283157	284488	+	gene	H16_A0272	H16_RS01330
NC_008313.1	284597	286114	+	gene	H16_A0273	H16_RS01335
NC_008313.1	286128	286478	+	gene	H16_A0274	H16_RS01340
NC_008313.1	286485	287462	-	gene	H16_A0275	H16_RS01345
NC_008313.1	287629	288879	+	gene	H16_A0276	H16_RS01350
NC_008313.1	288887	289090	+	gene	NA	H16_RS01355
NC_008313.1	289267	290664	+	gene	H16_A0277	H16_RS01360
NC_008313.1	290671	292077	-	gene	H16_A0278	H16_RS01365
NC_008313.1	292302	292640	+	gene	H16_A0279	H16_RS01370
NC_008313.1	292951	296214	+	gene	H16_A0280	H16_RS01375
NC_008313.1	296357	296794	+	gene	H16_A0281	H16_RS01380
NC_008313.1	296846	297700	+	gene	H16_A0282	H16_RS01385
NC_008313.1	298045	298242	+	gene	NA	H16_RS34935
NC_008313.1	298276	298698	-	gene	H16_A0283	H16_RS01390
NC_008313.1	298700	299368	-	gene	H16_A0284	H16_RS01395
NC_008313.1	299606	301564	+	gene	H16_A0285	H16_RS01400
NC_008313.1	301579	302541	+	gene	H16_A0286	H16_RS01405
NC_008313.1	302553	303467	+	gene	H16_A0287	H16_RS01410
NC_008313.1	303492	304568	+	gene	H16_A0288	H16_RS01415
NC_008313.1	304659	305996	+	gene	H16_A0289	H16_RS01420
NC_008313.1	306075	306893	+	gene	H16_A0290	H16_RS01425
NC_008313.1	306980	308230	+	gene	H16_A0291	H16_RS01430
NC_008313.1	308279	308647	-	gene	H16_A0292	H16_RS01435
NC_008313.1	308767	309744	-	gene	H16_A0293	H16_RS01440
NC_008313.1	309871	311307	-	gene	H16_A0294	H16_RS01445
NC_008313.1	311317	312006	-	gene	H16_A0295	H16_RS01450
NC_008313.1	312266	313393	-	gene	H16_A0296	H16_RS01455
NC_008313.1	313632	314957	-	gene	H16_A0297	H16_RS01460
NC_008313.1	314966	316963	-	gene	H16_A0298	H16_RS01465
NC_008313.1	317046	318344	-	gene	H16_A0299	H16_RS01470
NC_008313.1	318738	319058	+	gene	H16_A0300	H16_RS01475
NC_008313.1	319207	319848	+	gene	H16_A0301	H16_RS01480
NC_008313.1	319911	321110	+	gene	H16_A0302	H16_RS01485
NC_008313.1	321172	321477	+	gene	H16_A0303	H16_RS01490
NC_008313.1	321591	322787	+	gene	H16_A0304	H16_RS01495
NC_008313.1	322807	324906	-	gene	H16_A0305	H16_RS01500
NC_008313.1	325066	325602	-	gene	H16_A0306	H16_RS01505
NC_008313.1	325714	326238	-	gene	H16_A0307	H16_RS01510
NC_008313.1	326387	326989	+	gene	H16_A0308	H16_RS01515
NC_008313.1	327072	327719	+	gene	H16_A0309	H16_RS01520
NC_008313.1	327798	327986	+	gene	NA	H16_RS33990
NC_008313.1	327968	328690	-	gene	H16_A0310	H16_RS01525
NC_008313.1	329083	331635	+	gene	H16_A0311	H16_RS01530
NC_008313.1	331699	333402	+	gene	H16_A0312	H16_RS01535
NC_008313.1	333519	334583	+	gene	H16_A0313	H16_RS01540
NC_008313.1	334626	335729	+	gene	H16_A0314	H16_RS01545
NC_008313.1	335722	336753	+	gene	H16_A0315	H16_RS01550
NC_008313.1	336812	338299	+	gene	H16_A0316	H16_RS01555
NC_008313.1	338359	339903	-	gene	H16_A0317	H16_RS01560
NC_008313.1	339984	340262	-	gene	H16_A0318	H16_RS01565
NC_008313.1	340649	341446	+	gene	H16_A0319	H16_RS01570
NC_008313.1	341499	341837	+	gene	H16_A0320	H16_RS01575
NC_008313.1	341870	343417	+	gene	H16_A0321	H16_RS01580
NC_008313.1	343971	345266	+	gene	H16_A0322	H16_RS01585
NC_008313.1	345275	346228	+	gene	H16_A0323	H16_RS01590
NC_008313.1	346297	346752	+	gene	H16_A0324	H16_RS01595
NC_008313.1	346721	346990	+	gene	H16_A0325	H16_RS01600
NC_008313.1	347040	348800	+	gene	H16_A0326	H16_RS01605
NC_008313.1	348982	349320	+	gene	H16_A0327	H16_RS01610
NC_008313.1	349446	349925	+	gene	H16_A0328	H16_RS01615
NC_008313.1	350117	351220	+	gene	H16_A0329	H16_RS01620
NC_008313.1	351230	351994	-	gene	H16_A0330	H16_RS01625
NC_008313.1	352258	353865	-	gene	H16_A0331	H16_RS01630
NC_008313.1	354045	354791	-	gene	H16_A0332	H16_RS01635
NC_008313.1	354979	355392	+	gene	H16_A0333	H16_RS01640
NC_008313.1	355478	355735	+	gene	H16_A0334	H16_RS01645
NC_008313.1	355935	356453	+	gene	H16_A0335	H16_RS01650
NC_008313.1	356547	357563	+	gene	H16_A0336	H16_RS01655
NC_008313.1	357600	358577	+	gene	H16_A0337	H16_RS01660
NC_008313.1	358594	359064	-	gene	H16_A0338	H16_RS01665
NC_008313.1	359148	359861	-	gene	H16_A0339	H16_RS01670
NC_008313.1	359880	360947	+	gene	H16_A0340	H16_RS01675
NC_008313.1	361220	361729	+	gene	H16_A0341	H16_RS01680
NC_008313.1	361788	363050	+	gene	H16_A0342	H16_RS01685
NC_008313.1	363089	364696	+	gene	H16_A0343	H16_RS01690
NC_008313.1	364919	365530	+	gene	H16_A0345	H16_RS01695
NC_008313.1	365570	365794	+	gene	H16_A0346	H16_RS01700
NC_008313.1	365939	366799	+	gene	H16_A0347	H16_RS01705
NC_008313.1	366929	367138	-	gene	H16_A0348	H16_RS01710
NC_008313.1	367137	367934	+	gene	H16_A0349	H16_RS01715
NC_008313.1	367988	368638	+	gene	H16_A0350	H16_RS01720
NC_008313.1	368649	369761	+	gene	H16_A0351	H16_RS01725
NC_008313.1	369806	370702	+	gene	H16_A0352	H16_RS01730
NC_008313.1	370831	371451	+	gene	H16_A0353	H16_RS01735
NC_008313.1	371558	372484	-	gene	H16_A0354	H16_RS01740
NC_008313.1	372825	373700	+	gene	H16_A0355	H16_RS01745
NC_008313.1	373720	374712	-	gene	H16_A0356	H16_RS01750
NC_008313.1	374822	375625	-	gene	H16_A0357	H16_RS01755
NC_008313.1	375644	376549	-	gene	H16_A0358	H16_RS01760
NC_008313.1	376601	377911	-	gene	H16_A0359	H16_RS01765
NC_008313.1	378277	378924	-	gene	H16_A0360	H16_RS01770
NC_008313.1	379178	379879	+	gene	H16_A0361	H16_RS01775
NC_008313.1	379884	380531	+	gene	H16_A0362	H16_RS01780
NC_008313.1	380549	381709	-	gene	H16_A0363	H16_RS01785
NC_008313.1	381928	383475	+	gene	H16_A0364	H16_RS01790
NC_008313.1	383485	384867	+	gene	H16_A0365	H16_RS01795
NC_008313.1	384950	385642	+	gene	H16_A0366	H16_RS01800
NC_008313.1	385883	386368	+	gene	H16_A0367	H16_RS01805
NC_008313.1	386437	386697	+	gene	H16_A0368	H16_RS01810
NC_008313.1	386799	388649	-	gene	H16_A0369	H16_RS01815
NC_008313.1	388846	389442	-	gene	H16_A0370	H16_RS01820
NC_008313.1	389594	390211	-	gene	H16_A0371	H16_RS01825
NC_008313.1	390344	391297	-	gene	H16_A0372	H16_RS01830
NC_008313.1	391392	391468	-	gene	H16_A0373	H16_RS01835
NC_008313.1	391392	391468	-	tRNA	NA	H16_RS01835
NC_008313.1	391392	391468	-	exon	NA	H16_RS01835
NC_008313.1	391528	392406	-	gene	H16_A0374	H16_RS01840
NC_008313.1	392415	393008	-	gene	H16_A0375	H16_RS01845
NC_008313.1	393102	395057	-	gene	H16_A0376	H16_RS01850
NC_008313.1	395212	396090	+	gene	H16_A0377	H16_RS01855
NC_008313.1	396369	398321	+	gene	H16_A0378	H16_RS01860
NC_008313.1	398414	399592	+	gene	H16_A0379	H16_RS01865
NC_008313.1	399597	400256	-	gene	H16_A0380	H16_RS01870
NC_008313.1	400348	401232	-	gene	H16_A0381	H16_RS01875
NC_008313.1	401351	401752	-	gene	H16_A0382	H16_RS01880
NC_008313.1	401915	402886	-	gene	H16_A0383	H16_RS01885
NC_008313.1	402968	403423	-	gene	H16_A0384	H16_RS01890
NC_008313.1	403880	404230	-	gene	H16_A0386	H16_RS01895
NC_008313.1	404279	405760	-	gene	H16_A0387	H16_RS01900
NC_008313.1	405895	406695	-	gene	H16_A0388	H16_RS01905
NC_008313.1	406764	407414	-	gene	H16_A0389	H16_RS01910
NC_008313.1	407482	408111	-	gene	H16_A0390	H16_RS01915
NC_008313.1	408155	409138	-	gene	H16_A0391	H16_RS01920
NC_008313.1	409280	411259	+	gene	H16_A0392	H16_RS01925
NC_008313.1	411278	411652	-	gene	H16_A0393	H16_RS01930
NC_008313.1	411753	412331	-	gene	H16_A0394	H16_RS01935
NC_008313.1	412548	413120	+	gene	H16_A0395	H16_RS01940
NC_008313.1	413164	413775	+	gene	H16_A0396	H16_RS01945
NC_008313.1	413945	415624	+	gene	H16_A0397	H16_RS01950
NC_008313.1	415634	416119	-	gene	H16_A0398	H16_RS01955
NC_008313.1	416262	416855	+	gene	H16_A0399	H16_RS01960
NC_008313.1	416981	419842	-	gene	H16_A0400	H16_RS01965
NC_008313.1	420209	421459	+	gene	H16_A0401	H16_RS01970
NC_008313.1	421642	422181	+	gene	H16_A0402	H16_RS01975
