scaffold	begin	end	strand	desc	old_locus_tag	new_locus_tag
NC_015684.1	75230	76561	-	gene	OCA5_c00660	OCA5_RS00335
NC_015684.1	76712	77128	+	gene	OCA5_c00670	OCA5_RS00340
NC_015684.1	77254	77329	+	gene	OCA5_c00680	OCA5_RS00345
NC_015684.1	77254	77329	+	tRNA	NA	OCA5_RS00345
NC_015684.1	77254	77329	+	exon	NA	OCA5_RS00345
NC_015684.1	77576	78001	+	gene	OCA5_c00690	OCA5_RS00350
NC_015684.1	78049	78312	+	gene	OCA5_c00700	OCA5_RS00355
NC_015684.1	78768	80609	+	gene	OCA5_c00710	OCA5_RS00360
NC_015684.1	80788	81249	-	gene	OCA5_c00720	OCA5_RS00365
NC_015684.1	81413	82021	-	gene	OCA5_c00730	OCA5_RS00370
NC_015684.1	82078	83727	-	gene	OCA5_c00740	OCA5_RS00375
NC_015684.1	83839	84969	-	gene	OCA5_c00750	OCA5_RS00380
NC_015684.1	85104	85877	-	gene	OCA5_c00760	OCA5_RS00385
NC_015684.1	85909	86604	-	gene	OCA5_c00770	OCA5_RS00390
NC_015684.1	86731	87345	-	gene	OCA5_c00780	OCA5_RS00395
NC_015684.1	87639	90122	+	gene	OCA5_c00790	OCA5_RS00400
NC_015684.1	90333	90725	-	gene	OCA5_c00800	OCA5_RS00405
NC_015684.1	90861	92027	-	gene	OCA5_c00810	OCA5_RS00410
NC_015684.1	92063	93139	-	gene	OCA5_c00820	OCA5_RS00415
NC_015684.1	93375	93459	-	gene	OCA5_c00830	OCA5_RS00420
NC_015684.1	93375	93459	-	tRNA	NA	OCA5_RS00420
NC_015684.1	93375	93459	-	exon	NA	OCA5_RS00420
NC_015684.1	93608	94573	+	gene	OCA5_c00840	OCA5_RS00425
NC_015684.1	94763	95569	-	gene	OCA5_c00850	OCA5_RS00430
NC_015684.1	95870	96562	+	gene	OCA5_c00860	OCA5_RS00435
NC_015684.1	96682	97479	-	gene	OCA5_c00870	OCA5_RS00440
NC_015684.1	97479	97652	+	gene	NA	OCA5_RS19075
NC_015684.1	97766	98923	+	gene	OCA5_c00880	OCA5_RS00445
NC_015684.1	99038	99577	+	gene	OCA5_c00890	OCA5_RS00450
NC_015684.1	99919	100119	+	gene	OCA5_c00900	OCA5_RS00455
NC_015684.1	100184	100543	+	gene	OCA5_c00910	OCA5_RS00460
NC_015684.1	100705	101787	+	gene	OCA5_c00920	OCA5_RS00465
NC_015684.1	101784	104207	+	gene	OCA5_c00930	OCA5_RS00470
NC_015684.1	104309	105241	-	gene	OCA5_c00940	OCA5_RS00475
NC_015684.1	105290	107722	-	gene	OCA5_c00950	OCA5_RS00480
NC_015684.1	107977	108912	-	gene	OCA5_c00960	OCA5_RS00485
NC_015684.1	109058	110626	+	gene	OCA5_c00970	OCA5_RS00490
NC_015684.1	110647	111564	+	gene	OCA5_c00980	OCA5_RS00495
NC_015684.1	111572	112498	+	gene	OCA5_c00990	OCA5_RS00500
NC_015684.1	112495	114378	+	gene	OCA5_c01000	OCA5_RS00505
NC_015684.1	114393	115235	+	gene	OCA5_c01010	OCA5_RS00510
NC_015684.1	115243	116691	-	gene	OCA5_c01020	OCA5_RS00515
NC_015684.1	116889	117797	+	gene	OCA5_c01030	OCA5_RS00520
NC_015684.1	117903	118655	+	gene	OCA5_c01040	OCA5_RS00525
NC_015684.1	118809	119630	-	gene	OCA5_c01050	OCA5_RS00530
NC_015684.1	119654	120169	+	gene	OCA5_c01060	OCA5_RS00535
NC_015684.1	120296	121177	+	gene	OCA5_c01070	OCA5_RS00540
NC_015684.1	121330	121953	-	gene	OCA5_c01080	OCA5_RS00545
NC_015684.1	121975	122793	-	gene	OCA5_c01090	OCA5_RS00550
NC_015684.1	122904	123611	-	gene	OCA5_c01100	OCA5_RS00555
NC_015684.1	123621	124190	-	gene	OCA5_c01110	OCA5_RS00560
NC_015684.1	124294	124890	-	gene	OCA5_c01120	OCA5_RS00565
NC_015684.1	124987	126120	-	gene	OCA5_c01130	OCA5_RS00570
NC_015684.1	126274	128187	-	gene	OCA5_c01140	OCA5_RS00575
NC_015684.1	128498	129466	+	gene	OCA5_c01150	OCA5_RS00580
NC_015684.1	129504	130106	-	gene	OCA5_c01160	OCA5_RS00585
NC_015684.1	130221	131312	-	gene	OCA5_c01170	OCA5_RS00590
NC_015684.1	131467	132183	+	gene	OCA5_c01180	OCA5_RS00595
NC_015684.1	132301	132939	+	gene	OCA5_c01190	OCA5_RS00600
NC_015684.1	132929	134086	+	gene	OCA5_c01200	OCA5_RS00605
NC_015684.1	134203	135411	-	gene	OCA5_c01210	OCA5_RS00610
NC_015684.1	135617	136558	+	gene	OCA5_c01220	OCA5_RS00615
NC_015684.1	136555	136950	+	gene	OCA5_c01230	OCA5_RS00620
NC_015684.1	136981	137922	+	gene	OCA5_c01240	OCA5_RS00625
NC_015684.1	138055	138873	+	gene	OCA5_c01250	OCA5_RS00630
NC_015684.1	138978	140516	+	gene	OCA5_c01260	OCA5_RS00635
NC_015684.1	140601	141080	+	gene	OCA5_c01270	OCA5_RS00640
NC_015684.1	141201	143423	+	gene	OCA5_c01280	OCA5_RS00645
NC_015684.1	143545	144504	+	gene	OCA5_c01290	OCA5_RS00650
NC_015684.1	144694	145650	-	gene	OCA5_c01300	OCA5_RS00655
NC_015684.1	145721	146050	-	gene	OCA5_c01310	OCA5_RS00660
NC_015684.1	146131	146904	-	gene	OCA5_c01320	OCA5_RS00665
NC_015684.1	146904	147641	-	gene	OCA5_c01330	OCA5_RS00670
NC_015684.1	147638	148288	-	gene	OCA5_c01340	OCA5_RS00675
NC_015684.1	148285	148782	-	gene	OCA5_c01350	OCA5_RS00680
NC_015684.1	148811	149404	-	gene	OCA5_c01360	OCA5_RS00685
NC_015684.1	149599	150150	+	gene	OCA5_c01370	OCA5_RS00690
NC_015684.1	150258	151559	+	gene	OCA5_c01380	OCA5_RS00695
NC_015684.1	151674	152273	-	gene	OCA5_c01390	OCA5_RS00700
NC_015684.1	152270	153667	-	gene	OCA5_c01400	OCA5_RS00705
NC_015684.1	153645	154349	-	gene	OCA5_c01410	OCA5_RS00710
NC_015684.1	154635	155120	+	gene	OCA5_c01420	OCA5_RS00715
NC_015684.1	155209	155901	-	gene	OCA5_c01430	OCA5_RS00720
NC_015684.1	155920	156519	-	gene	OCA5_c01440	OCA5_RS00725
NC_015684.1	156531	157139	-	gene	OCA5_c01450	OCA5_RS00730
NC_015684.1	157147	157998	-	gene	OCA5_c01460	OCA5_RS00735
NC_015684.1	158539	158961	+	gene	OCA5_c01470	OCA5_RS00740
NC_015684.1	159238	160503	+	gene	OCA5_c01480	OCA5_RS00745
NC_015684.1	160579	161184	-	gene	OCA5_c01490	OCA5_RS00750
NC_015684.1	161221	161871	-	gene	OCA5_c01500	OCA5_RS00755
NC_015684.1	161910	162857	-	gene	OCA5_c01510	OCA5_RS00760
NC_015684.1	162854	163462	-	gene	OCA5_c01520	OCA5_RS00765
NC_015684.1	163554	164630	+	gene	OCA5_c01530	OCA5_RS00770
NC_015684.1	164807	165721	+	gene	OCA5_c01540	OCA5_RS00775
NC_015684.1	165729	166532	+	gene	OCA5_c01550	OCA5_RS00780
NC_015684.1	166532	167410	+	gene	OCA5_c01560	OCA5_RS00785
NC_015684.1	167491	169545	-	gene	OCA5_c01570	OCA5_RS00790
NC_015684.1	169648	170976	+	gene	OCA5_c01580	OCA5_RS00795
NC_015684.1	171127	173001	+	gene	OCA5_c01590	OCA5_RS00800
NC_015684.1	173153	173842	+	gene	OCA5_c01600	OCA5_RS00805
NC_015684.1	173839	174690	+	gene	OCA5_c01610	OCA5_RS00810
NC_015684.1	174885	175775	+	gene	OCA5_c01620	OCA5_RS00815
NC_015684.1	175837	177510	-	gene	OCA5_c01630	OCA5_RS00820
NC_015684.1	177672	178700	-	gene	OCA5_c01640	OCA5_RS00825
NC_015684.1	178719	179273	-	gene	OCA5_c01650	OCA5_RS00830
NC_015684.1	179260	181899	-	gene	OCA5_c01660	OCA5_RS00835
NC_015684.1	182015	183709	-	gene	OCA5_c01670	OCA5_RS00840
NC_015684.1	183842	184531	+	gene	OCA5_c01680	OCA5_RS00845
NC_015684.1	184629	185198	-	gene	OCA5_c01690	OCA5_RS00850
NC_015684.1	185320	186006	+	gene	OCA5_c01700	OCA5_RS00855
NC_015684.1	186073	186513	+	gene	OCA5_c01710	OCA5_RS00860
NC_015684.1	186702	187517	-	gene	OCA5_c01720	OCA5_RS00865
NC_015684.1	187599	188429	-	gene	OCA5_c01730	OCA5_RS00870
NC_015684.1	188572	191028	-	gene	OCA5_c01740	OCA5_RS00875
NC_015684.1	191037	192269	-	gene	OCA5_c01750	OCA5_RS00880
NC_015684.1	192538	193854	-	gene	OCA5_c01760	OCA5_RS00885
NC_015684.1	193896	194234	-	gene	OCA5_c01770	OCA5_RS00890
NC_015684.1	194519	195406	-	gene	OCA5_c01780	OCA5_RS00895
NC_015684.1	195556	196776	+	gene	OCA5_c01790	OCA5_RS00900
NC_015684.1	196939	197142	-	gene	OCA5_c01800	OCA5_RS00905
NC_015684.1	197181	197855	-	gene	OCA5_c01810	OCA5_RS00910
NC_015684.1	197883	198785	-	gene	OCA5_c01820	OCA5_RS00915
NC_015684.1	199011	199085	+	gene	OCA5_c01830	OCA5_RS00920
NC_015684.1	199011	199085	+	tRNA	NA	OCA5_RS00920
NC_015684.1	199011	199085	+	exon	NA	OCA5_RS00920
NC_015684.1	199295	199714	+	gene	OCA5_c01840	OCA5_RS00925
NC_015684.1	199711	200181	+	gene	OCA5_c01850	OCA5_RS00930
NC_015684.1	200184	200768	-	gene	OCA5_c01860	OCA5_RS00935
NC_015684.1	200844	201734	-	gene	OCA5_c01870	OCA5_RS00940
NC_015684.1	201876	203684	-	gene	OCA5_c01880	OCA5_RS00945
NC_015684.1	203715	205130	+	gene	OCA5_c01890	OCA5_RS00950
NC_015684.1	205268	206860	-	gene	OCA5_c01900	OCA5_RS00955
NC_015684.1	207017	208762	-	gene	OCA5_c01910	OCA5_RS00960
NC_015684.1	208877	210217	-	gene	OCA5_c01920	OCA5_RS00965
NC_015684.1	210397	210609	+	gene	NA	OCA5_RS00970
NC_015684.1	210678	211241	+	gene	OCA5_c01930	OCA5_RS00975
NC_015684.1	211278	211802	-	gene	OCA5_c01940	OCA5_RS00980
NC_015684.1	212084	214039	-	gene	OCA5_c01950	OCA5_RS00985
NC_015684.1	214257	214670	-	gene	OCA5_c01960	OCA5_RS00990
NC_015684.1	214679	215656	-	gene	OCA5_c01970	OCA5_RS00995
NC_015684.1	215711	216784	-	gene	OCA5_c01980	OCA5_RS01000
NC_015684.1	216941	217705	+	gene	OCA5_c01990	OCA5_RS01005
NC_015684.1	217722	219005	+	gene	OCA5_c02000	OCA5_RS01010
NC_015684.1	219036	220754	+	gene	OCA5_c02010	OCA5_RS01015
NC_015684.1	220840	220915	+	gene	OCA5_c02020	OCA5_RS01020
NC_015684.1	220840	220915	+	tRNA	NA	OCA5_RS01020
NC_015684.1	220840	220915	+	exon	NA	OCA5_RS01020
NC_015684.1	221125	222171	-	gene	OCA5_c02030	OCA5_RS01025
NC_015684.1	222402	223337	+	gene	OCA5_c02050	OCA5_RS01030
NC_015684.1	223513	224412	-	gene	OCA5_c02060	OCA5_RS01035
NC_015684.1	224427	224624	-	gene	OCA5_c02070	OCA5_RS01040
NC_015684.1	224621	226735	-	gene	OCA5_c02080	OCA5_RS01045
NC_015684.1	226874	227353	+	gene	OCA5_c02090	OCA5_RS01050
NC_015684.1	227411	228190	+	gene	OCA5_c02100	OCA5_RS01055
NC_015684.1	228202	229422	-	gene	OCA5_c02110	OCA5_RS01060
NC_015684.1	229555	229630	-	gene	OCA5_c02120	OCA5_RS01065
NC_015684.1	229555	229630	-	tRNA	NA	OCA5_RS01065
NC_015684.1	229555	229630	-	exon	NA	OCA5_RS01065
NC_015684.1	229840	230130	+	gene	OCA5_c02130	OCA5_RS01070
NC_015684.1	230168	230488	+	gene	OCA5_c02140	OCA5_RS01075
NC_015684.1	230499	231383	+	gene	OCA5_c02150	OCA5_RS01080
NC_015684.1	231494	232024	-	gene	OCA5_c02160	OCA5_RS01085
NC_015684.1	232208	232717	-	gene	OCA5_c02170	OCA5_RS01090
NC_015684.1	232917	234146	-	gene	OCA5_c02180	OCA5_RS01095
NC_015684.1	234351	236174	-	gene	OCA5_c02190	OCA5_RS01100
NC_015684.1	236389	237714	-	gene	OCA5_c02200	OCA5_RS01105
NC_015684.1	237975	238277	+	gene	OCA5_c02210	OCA5_RS01110
NC_015684.1	238380	238757	+	gene	OCA5_c02220	OCA5_RS01115
NC_015684.1	238905	239546	+	gene	OCA5_c02230	OCA5_RS01120
NC_015684.1	239714	240928	+	gene	OCA5_c02240	OCA5_RS01125
NC_015684.1	241155	241601	+	gene	OCA5_c02250	OCA5_RS01130
NC_015684.1	241646	242464	+	gene	OCA5_c02260	OCA5_RS01135
NC_015684.1	242666	244003	+	gene	OCA5_c02270	OCA5_RS01140
NC_015684.1	244249	245220	-	gene	OCA5_c02280	OCA5_RS01145
NC_015684.1	246695	247072	+	gene	OCA5_c02290	OCA5_RS01155
NC_015684.1	247086	247868	-	gene	OCA5_c02300	OCA5_RS01160
NC_015684.1	247968	249782	-	gene	OCA5_c02310	OCA5_RS01165
NC_015684.1	249786	250190	-	gene	OCA5_c02320	OCA5_RS01170
NC_015684.1	250187	250582	-	gene	OCA5_c02330	OCA5_RS01175
NC_015684.1	251096	251950	+	gene	OCA5_c02350	OCA5_RS01180
NC_015684.1	251984	253531	-	gene	OCA5_c02360	OCA5_RS01185
NC_015684.1	253633	254844	-	gene	OCA5_c02370	OCA5_RS01190
NC_015684.1	254972	256084	+	gene	OCA5_c02380	OCA5_RS01195
NC_015684.1	256142	256294	+	gene	OCA5_c02390	OCA5_RS19225
NC_015684.1	256328	256696	-	gene	OCA5_c02400	OCA5_RS01200
NC_015684.1	256992	258026	+	gene	OCA5_c02410	OCA5_RS01205
NC_015684.1	258129	258827	-	gene	OCA5_c02420	OCA5_RS01210
NC_015684.1	258942	259835	+	gene	OCA5_c02430	OCA5_RS01215
NC_015684.1	259895	260500	-	gene	OCA5_c02440	OCA5_RS01220
NC_015684.1	260709	261032	+	gene	NA	OCA5_RS19350
NC_015684.1	261345	261683	+	gene	NA	OCA5_RS19355
NC_015684.1	261769	263181	-	gene	OCA5_c02460	OCA5_RS01235
NC_015684.1	263323	263733	+	gene	OCA5_c02470	OCA5_RS01240
NC_015684.1	263803	264198	-	gene	OCA5_c02480	OCA5_RS01245
NC_015684.1	264302	265102	-	gene	OCA5_c02490	OCA5_RS01250
NC_015684.1	265199	265723	-	gene	OCA5_c02500	OCA5_RS01255
NC_015684.1	265731	266063	-	gene	OCA5_c02510	OCA5_RS01260
NC_015684.1	266199	267746	-	gene	OCA5_c02520	OCA5_RS01265
NC_015684.1	268195	268890	-	gene	OCA5_c02530	OCA5_RS01270
NC_015684.1	268901	269371	-	gene	OCA5_c02540	OCA5_RS01275
NC_015684.1	269863	270735	+	gene	OCA5_c02550	OCA5_RS01280
NC_015684.1	270737	271999	+	gene	OCA5_c02560	OCA5_RS01285
NC_015684.1	272217	272951	-	gene	OCA5_c02570	OCA5_RS01290
NC_015684.1	273036	273992	+	gene	OCA5_c02580	OCA5_RS01295
NC_015684.1	274058	274660	+	gene	OCA5_c02590	OCA5_RS01300
NC_015684.1	274669	275115	-	gene	OCA5_c02600	OCA5_RS01305
NC_015684.1	275909	276352	+	gene	OCA5_c02610	OCA5_RS01310
NC_015684.1	276499	277209	+	gene	OCA5_c02620	OCA5_RS01315
NC_015684.1	277274	277906	+	gene	OCA5_c02630	OCA5_RS01320
NC_015684.1	277934	279457	+	gene	OCA5_c02640	OCA5_RS01325
NC_015684.1	279693	280214	+	gene	OCA5_c02650	OCA5_RS01330
NC_015684.1	280247	280564	+	gene	OCA5_c02660	OCA5_RS01335
NC_015684.1	280577	281041	-	gene	OCA5_c02670	OCA5_RS01340
NC_015684.1	281093	281563	-	gene	OCA5_c02680	OCA5_RS01345
NC_015684.1	281689	281955	-	gene	OCA5_c02690	OCA5_RS01350
NC_015684.1	282097	282357	+	gene	OCA5_c02700	OCA5_RS01355
NC_015684.1	282421	282747	+	gene	OCA5_c02710	OCA5_RS01360
NC_015684.1	282750	283415	+	gene	OCA5_c02720	OCA5_RS01365
NC_015684.1	283412	284773	+	gene	OCA5_c02730	OCA5_RS01370
NC_015684.1	285031	285288	+	gene	OCA5_c02740	OCA5_RS01375
NC_015684.1	285351	286700	+	gene	OCA5_c02750	OCA5_RS01380
NC_015684.1	286722	287252	+	gene	OCA5_c02760	OCA5_RS01385
NC_015684.1	287300	287932	+	gene	OCA5_c02770	OCA5_RS01390
NC_015684.1	288185	288448	-	gene	OCA5_c02790	OCA5_RS01400
NC_015684.1	288531	289820	-	gene	OCA5_c02800	OCA5_RS01405
NC_015684.1	289985	290644	-	gene	OCA5_c02810	OCA5_RS01410
NC_015684.1	290969	292324	+	gene	OCA5_c02820	OCA5_RS01415
NC_015684.1	292484	292855	+	gene	OCA5_c02830	OCA5_RS01420
NC_015684.1	292848	293375	+	gene	OCA5_c02840	OCA5_RS01425
NC_015684.1	293384	293809	+	gene	OCA5_c02850	OCA5_RS01430
NC_015684.1	293819	294874	+	gene	OCA5_c02860	OCA5_RS01435
NC_015684.1	294874	295587	+	gene	OCA5_c02870	OCA5_RS01440
NC_015684.1	295654	296853	+	gene	OCA5_c02880	OCA5_RS01445
NC_015684.1	296984	297691	-	gene	OCA5_c02890	OCA5_RS01450
NC_015684.1	297694	301218	-	gene	OCA5_c02900	OCA5_RS01455
NC_015684.1	301205	301987	-	gene	OCA5_c02910	OCA5_RS01460
NC_015684.1	302004	303020	-	gene	OCA5_c02920	OCA5_RS01465
NC_015684.1	303013	303606	-	gene	OCA5_c02930	OCA5_RS01470
NC_015684.1	303882	304850	+	gene	OCA5_c02940	OCA5_RS01475
NC_015684.1	304847	305218	+	gene	OCA5_c02950	OCA5_RS01480
NC_015684.1	305396	307531	+	gene	OCA5_c02960	OCA5_RS01485
NC_015684.1	307588	307809	+	gene	OCA5_c02970	OCA5_RS01490
NC_015684.1	307918	308475	+	gene	OCA5_c02980	OCA5_RS01495
NC_015684.1	308539	308955	+	gene	OCA5_c02990	OCA5_RS01500
NC_015684.1	308948	309592	+	gene	OCA5_c03000	OCA5_RS01505
NC_015684.1	309750	314081	+	gene	OCA5_c03010	OCA5_RS01510
NC_015684.1	314081	315121	+	gene	OCA5_c03020	OCA5_RS01515
NC_015684.1	315467	316393	+	gene	OCA5_c03030	OCA5_RS01520
NC_015684.1	316657	316956	-	gene	NA	OCA5_RS01525
NC_015684.1	317177	317344	+	gene	OCA5_c03040	OCA5_RS19230
NC_015684.1	317481	317921	+	gene	OCA5_c03050	OCA5_RS01530
NC_015684.1	318488	318814	+	gene	OCA5_c03060	OCA5_RS01535
NC_015684.1	319006	319254	+	gene	OCA5_c03070	OCA5_RS01540
NC_015684.1	319365	319625	+	gene	OCA5_c03080	OCA5_RS01545
NC_015684.1	319817	320524	+	gene	OCA5_c03090	OCA5_RS01550
NC_015684.1	320654	320935	+	gene	OCA5_c03100	OCA5_RS01555
NC_015684.1	320953	322113	+	gene	OCA5_c03110	OCA5_RS01560
NC_015684.1	322110	322763	+	gene	OCA5_c03120	OCA5_RS01565
NC_015684.1	322760	323011	+	gene	OCA5_c03130	OCA5_RS01570
NC_015684.1	323008	323529	+	gene	OCA5_c03140	OCA5_RS01575
NC_015684.1	323526	324071	+	gene	OCA5_c03150	OCA5_RS01580
NC_015684.1	324111	324443	+	gene	OCA5_c03160	OCA5_RS01585
NC_015684.1	324448	325170	+	gene	OCA5_c03170	OCA5_RS01590
NC_015684.1	325414	327153	+	gene	OCA5_c03180	OCA5_RS01595
NC_015684.1	327302	329287	+	gene	OCA5_c03190	OCA5_RS01600
NC_015684.1	329292	329717	+	gene	OCA5_c03200	OCA5_RS01605
NC_015684.1	330013	330993	+	gene	OCA5_c03220	OCA5_RS01610
NC_015684.1	330990	331322	+	gene	OCA5_c03230	OCA5_RS01615
NC_015684.1	331322	331603	+	gene	NA	OCA5_RS01620
NC_015684.1	331617	334070	+	gene	OCA5_c03240	OCA5_RS01625
NC_015684.1	334073	334840	+	gene	OCA5_c03250	OCA5_RS01630
NC_015684.1	334851	335135	+	gene	OCA5_c03260	OCA5_RS01635
NC_015684.1	335139	336503	+	gene	OCA5_c03270	OCA5_RS01640
NC_015684.1	336500	337189	+	gene	OCA5_c03280	OCA5_RS01645
NC_015684.1	337186	338169	+	gene	OCA5_c03290	OCA5_RS01650
NC_015684.1	338166	339350	+	gene	OCA5_c03300	OCA5_RS01655
NC_015684.1	339352	339591	+	gene	OCA5_c03310	OCA5_RS01660
NC_015684.1	339524	340507	-	gene	OCA5_c03320	OCA5_RS01665
NC_015684.1	340692	341125	-	pseudogene	OCA5_c03330	OCA5_RS01670
NC_015684.1	341135	341587	-	gene	OCA5_c03340	OCA5_RS01675
NC_015684.1	341635	342330	-	gene	OCA5_c03350	OCA5_RS01680
NC_015684.1	342327	345032	-	gene	OCA5_c03360	OCA5_RS01685
NC_015684.1	345089	345664	-	gene	OCA5_c03370	OCA5_RS01690
NC_015684.1	345740	347809	-	gene	OCA5_c03380	OCA5_RS01695
NC_015684.1	348037	349734	-	gene	OCA5_c03390	OCA5_RS01700
NC_015684.1	349765	349854	-	gene	NA	OCA5_RS18585
NC_015684.1	350340	350588	-	gene	OCA5_c03400	OCA5_RS01705
NC_015684.1	350642	350836	-	gene	OCA5_c03410	OCA5_RS01710
NC_015684.1	351019	351966	-	pseudogene	OCA5_c03420	OCA5_RS01715
NC_015684.1	351963	352325	-	gene	OCA5_c03430	OCA5_RS01720
NC_015684.1	352587	352736	-	gene	NA	OCA5_RS19240
NC_015684.1	353109	354254	-	gene	OCA5_c03440	OCA5_RS01730
NC_015684.1	354574	355350	+	gene	OCA5_c03450	OCA5_RS01735
NC_015684.1	355369	355641	-	gene	OCA5_c03460	OCA5_RS01740
NC_015684.1	356326	357086	-	pseudogene	OCA5_c03470	OCA5_RS01750
NC_015684.1	357158	357667	-	gene	OCA5_c03480	OCA5_RS01755
NC_015684.1	357764	358240	-	gene	OCA5_c03490	OCA5_RS01760
NC_015684.1	358745	359083	+	gene	OCA5_c03500	OCA5_RS01765
NC_015684.1	359070	360869	+	gene	OCA5_c03510	OCA5_RS01770
NC_015684.1	360866	361930	+	gene	OCA5_c03520	OCA5_RS01775
NC_015684.1	362236	364083	+	gene	OCA5_c03530	OCA5_RS01780
NC_015684.1	364080	365783	+	gene	OCA5_c03540	OCA5_RS01785
NC_015684.1	365795	366304	+	gene	OCA5_c03550	OCA5_RS01790
NC_015684.1	366315	367532	+	gene	OCA5_c03560	OCA5_RS01795
